PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
10001,0,0,2.766,-232.196,284.493,0,0,0,0
10002,0,0,2.819,-231.363,282.424,0,0,0,0
10003,0,0,2.881,-230.244,279.649,0,0,0,0
10004,0,0,2.88,-228.945,276.945,0,0,0,0
10005,0,0,2.875,-227.65,274.251,0,0,0,0
10006,0,0,2.423,-226.062,271.037,0,0,0,0
10007,0,0,2.423,-224.743,268.365,0,0,0,0
10008,0,0,2.423,-223.105,265.317,0,0,0,0
10009,0,0,2.423,-221.692,262.696,0,0,0,0
10010,0,0,2.423,-220.689,260.834,0,0,0,0
10011,0,0,2.404,-219.27,258.202,0,0,0,0
10012,0,0,2.374,-217.709,255.367,0,0,0,0
10013,0,0,2.36,-216.261,252.735,0,0,0,0
10014,0,0,2.335,-215.455,251.394,0,0,0,0
10015,0,0,2.31,-214.82,250.316,0,0,0,0
10016,0,0,2.293,-213.905,248.687,0,0,0,0
10017,0,0,2.282,-213.406,247.81,0,0,0,0
10018,0,0,2.271,-212.908,246.933,0,0,0,0
10019,0,0,2.26,-212.409,246.056,0,0,0,0
10020,0,0,2.249,-211.911,245.179,0,0,0,0
10021,0,0,2.238,-211.412,244.302,0,0,0,0
10022,0,0,2.227,-210.914,243.426,0,0,0,0
10023,0,0,2.216,-210.416,242.549,0,0,0,0
10024,0,0,2.205,-209.917,241.672,0,0,0,0
10025,0,0,2.194,-209.419,240.795,0,0,0,0
10026,0,0,2.183,-208.92,239.918,0,0,0,0
10027,0,0,2.172,-208.422,239.042,0,0,0,0
10028,0,0,2.161,-207.924,238.165,0,0,0,0
10029,0,0,2.15,-207.425,237.288,0,0,0,0
10030,0,0,2.14,-206.927,236.411,0,0,0,0
10031,0,0,2.129,-206.428,235.534,0,0,0,0
10032,0,0,2.118,-205.93,234.657,0,0,0,0
10033,0,0,2.107,-205.432,233.781,0,0,0,0
10034,0,0,2.096,-204.933,232.904,0,0,0,0
10035,0,0,2.085,-204.435,232.027,0,0,0,0
10036,0,0,2.074,-203.936,231.15,0,0,0,0
10037,0,0,2.063,-203.438,230.273,0,0,0,0
10038,0,0,2.052,-202.94,229.397,0,0,0,0
10039,0,0,2.041,-202.441,228.52,0,0,0,0
10040,0,0,2.03,-201.943,227.643,0,0,0,0
10041,0,0,2.019,-201.444,226.766,0,0,0,0
10042,0,0,2.008,-200.946,225.889,0,0,0,0
10043,0,0,1.998,-200.448,225.013,0,0,0,0
10044,0,0,1.987,-199.949,224.136,0,0,0,0
10045,0,0,1.976,-199.451,223.259,0,0,0,0
10046,0,0,1.965,-198.952,222.382,0,0,0,0
10047,0,0,1.954,-198.454,221.505,0,0,0,0
10048,0,0,1.943,-197.955,220.628,0,0,0,0
10049,0,0,1.932,-197.457,219.752,0,0,0,0
10050,0,0,1.921,-196.959,218.875,0,0,0,0
10051,0,0,1.91,-196.46,217.998,0,0,0,0
10052,0,0,1.899,-195.962,217.121,0,0,0,0
10053,0,0,1.888,-195.463,216.244,0,0,0,0
10054,0,0,1.877,-194.965,215.368,0,0,0,0
10055,0,0,1.866,-194.467,214.491,0,0,0,0
10056,0,0,1.855,-193.968,213.614,0,0,0,0
10057,0,0,1.845,-193.47,212.737,0,0,0,0
10058,0,0,1.834,-192.971,211.86,0,0,0,0
10059,0,0,1.823,-192.473,210.983,0,0,0,0
10060,0,0,1.812,-191.975,210.107,0,0,0,0
10061,0,0,1.801,-191.476,209.23,0,0,0,0
10062,0,0,1.79,-190.978,208.353,0,0,0,0
10063,0,0,1.779,-190.479,207.476,0,0,0,0
10064,0,0,1.768,-189.981,206.599,0,0,0,0
10065,0,0,1.757,-189.483,205.723,0,0,0,0
10066,0,0,1.746,-188.984,204.846,0,0,0,0
10067,0,0,1.735,-188.486,203.969,0,0,0,0
10068,0,0,1.724,-187.987,203.092,0,0,0,0
10069,0,0,1.713,-187.489,202.215,0,0,0,0
10070,0,0,1.702,-186.991,201.339,0,0,0,0
10071,0,0,1.692,-186.492,200.462,0,0,0,0
10072,0,0,1.681,-185.994,199.585,0,0,0,0
10073,0,0,1.67,-185.495,198.708,0,0,0,0
10074,0,0,1.659,-184.997,197.831,0,0,0,0
10075,0,0,1.648,-184.498,196.954,0,0,0,0
10076,0,0,1.637,-184.0,196.078,0,0,0,0
10077,0,0,1.626,-183.502,195.201,0,0,0,0
10078,0,0,1.615,-183.003,194.324,0,0,0,0
10079,0,0,1.604,-182.505,193.447,0,0,0,0
10080,0,0,1.593,-182.006,192.57,0,0,0,0
10081,0,0,1.582,-181.508,191.694,0,0,0,0
10082,0,0,1.571,-181.01,190.817,0,0,0,0
10083,0,0,1.56,-180.511,189.94,0,0,0,0
10084,0,0,1.55,-180.013,189.063,0,0,0,0
10085,0,0,1.539,-179.514,188.186,0,0,0,0
10086,0,0,1.528,-179.016,187.309,0,0,0,0
10087,0,0,1.517,-178.518,186.433,0,0,0,0
10088,0,0,1.506,-178.019,185.556,0,0,0,0
10089,0,0,1.495,-177.521,184.679,0,0,0,0
10090,0,0,1.484,-177.022,183.802,0,0,0,0
10091,0,0,1.473,-176.524,182.925,0,0,0,0
10092,0,0,1.462,-176.026,182.049,0,0,0,0
10093,0,0,1.451,-175.527,181.172,0,0,0,0
10094,0,0,1.44,-175.029,180.295,0,0,0,0
10095,0,0,1.429,-174.53,179.418,0,0,0,0
10096,0,0,1.418,-174.032,178.541,0,0,0,0
10097,0,0,1.408,-173.534,177.665,0,0,0,0
10098,0,0,1.44,-172.759,176.399,0,0,0,0
10099,0,0,1.394,-171.852,174.906,0,0,0,0
10100,0,0,1.391,-170.955,173.346,0,0,0,0
10101,0,0,1.368,-170.14,171.741,0,0,0,0
10102,0,0,1.35,-169.456,170.077,0,0,0,0
10103,0,0,1.354,-168.954,168.349,0,0,0,0
10104,0,0,1.291,-168.688,166.571,0,0,0,0
10105,0,0,1.343,-168.714,164.773,0,0,0,0
10106,0,0,1.324,-169.078,163.013,0,0,0,0
10107,0,0,1.308,-169.769,161.354,0,0,0,0
10108,0,0,1.285,-170.728,159.833,0,0,0,0
10109,0,0,1.311,-171.896,158.465,0,0,0,0
10110,0,0,1.336,-173.218,157.244,0,0,0,0
10111,0,0,1.335,-174.65,156.155,0,0,0,0
10112,0,0,1.352,-176.155,155.169,0,0,0,0
10113,0,0,1.373,-177.803,154.213,0,0,0,0
10114,0,0,1.379,-178.7,153.708,0,0,0,0
10115,0,0,1.386,-179.598,153.204,0,0,0,0
10116,0,0,1.392,-180.495,152.699,0,0,0,0
10117,0,0,1.399,-181.393,152.195,0,0,0,0
10118,0,0,1.405,-182.29,151.69,0,0,0,0
10119,0,0,1.412,-183.188,151.185,0,0,0,0
10120,0,0,1.418,-184.085,150.681,0,0,0,0
10121,0,0,1.425,-184.983,150.177,0,0,0,0
10122,0,0,1.431,-185.88,149.672,0,0,0,0
10123,0,0,1.438,-186.778,149.168,0,0,0,0
10124,0,0,1.444,-187.676,148.663,0,0,0,0
10125,0,0,1.45,-188.573,148.159,0,0,0,0
10126,0,0,1.457,-189.471,147.654,0,0,0,0
10127,0,0,1.464,-190.368,147.149,0,0,0,0
10128,0,0,1.47,-191.266,146.645,0,0,0,0
10129,0,0,1.476,-192.163,146.141,0,0,0,0
10130,0,0,1.483,-193.061,145.636,0,0,0,0
10131,0,0,1.49,-193.958,145.132,0,0,0,0
10132,0,0,1.496,-194.856,144.627,0,0,0,0
10133,0,0,1.503,-195.754,144.123,0,0,0,0
10134,0,0,1.451,-196.607,143.601,0,0,0,0
10135,0,0,1.48,-197.444,143.054,0,0,0,0
10136,0,0,1.442,-198.261,142.478,0,0,0,0
10137,0,0,1.469,-199.054,141.868,0,0,0,0
10138,0,0,1.486,-199.814,141.219,0,0,0,0
10139,0,0,1.489,-200.536,140.528,0,0,0,0
10140,0,0,1.505,-201.213,139.791,0,0,0,0
10141,0,0,1.509,-201.834,139.008,0,0,0,0
10142,0,0,1.505,-202.392,138.179,0,0,0,0
10143,0,0,1.505,-202.877,137.304,0,0,0,0
10144,0,0,1.506,-203.277,136.388,0,0,0,0
10145,0,0,1.49,-203.584,135.437,0,0,0,0
10146,0,0,1.486,-203.798,134.461,0,0,0,0
10147,0,0,1.483,-203.922,133.469,0,0,0,0
10148,0,0,1.492,-203.962,132.47,0,0,0,0
10149,0,0,1.465,-203.923,131.471,0,0,0,0
10150,0,0,1.472,-203.814,130.477,0,0,0,0
